title,description,start_date,start_time,end_date,end_time,last_updated,status,tracking_number,tracking_link,last_tracked,service,tp_id,state_abbrievation
LBB1017-CMTK - UPS,"Tracking Number: 1ZY0710W0302852169

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZY0710W0302852169&lang=en",2024-10-24T11:15:00Z,2024-10-24T11:15:00Z,2024-10-24T14:15:00Z,2024-10-24T14:15:00Z,2024-10-19T04:29:08.109Z,cancelled,,,2024-10-19T04:29:08.109Z,UPS,LBB1017-CMTK,
NC1017-LOTO - UPS,"Tracking Number: 1ZGW61220311143170

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220311143170&lang=en",10/23/2024 12:00 AM GMT,10/23/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/18/2024 5:29 AM GMT,cancelled,1ZGW61220311143170,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220311143170&lang=en,10/18/2024 5:29 AM GMT,UPS,NC1017-LOTO,
VA1017B-SEVN - UPS,"Tracking Number: 1ZGW61220314144584

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314144584&lang=en",10/23/2024 12:00 AM GMT,10/23/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/18/2024 5:29 AM GMT,cancelled,1ZGW61220314144584,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220314144584&lang=en,10/24/2024 8:26 AM GMT,UPS,VA1017B-SEVN,
VA1017A-SEVN - UPS,"Tracking Number: 1ZGW61220328209729

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328209729&lang=en",10/23/2024 12:00 AM GMT,10/23/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/24/2024 12:00 AM GMT,10/18/2024 5:29 AM GMT,cancelled,1ZGW61220328209729,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW61220328209729&lang=en,10/24/2024 8:26 AM GMT,UPS,VA1017A-SEVN,
LBB1017-CMTK - UPS,"Tracking Number: 1ZY0710W0302852169

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZY0710W0302852169&lang=en",10/24/2024 11:15 AM GMT,10/24/2024 11:15 AM GMT,10/24/2024 2:15 PM GMT,10/24/2024 2:15 PM GMT,10/19/2024 4:29 AM GMT,cancelled,1ZY0710W0302852169,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZY0710W0302852169&lang=en,10/25/2024 5:26 AM GMT,UPS,BB1017-CMTK,
VA1019E-SEVN - UPS,"Tracking Number: 1ZC71G770310072136

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770310072136&lang=en",10/25/2024 12:00 AM GMT,10/25/2024 12:00 AM GMT,10/26/2024 12:00 AM GMT,10/26/2024 12:00 AM GMT,10/20/2024 7:29 AM GMT,cancelled,1ZC71G770310072136,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770310072136&lang=en,10/28/2024 8:26 PM GMT,UPS,VA1019E-SEVN,
VA1018D-SEVN - FedEx,"Tracking Number: 779365217227

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779365217227&lang=en",10/29/2024 12:00 AM GMT,10/29/2024 12:00 AM GMT,10/30/2024 12:00 AM GMT,10/30/2024 12:00 AM GMT,10/29/2024 3:29 AM GMT,cancelled,7.79365E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779365217227&lang=en,10/29/2024 11:26 PM GMT,FedEx,VA1018D-SEVN,
VA1018C-SEVN - FedEx,"Tracking Number: 779365217216

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779365217216&lang=en",10/25/2024 12:00 AM GMT,10/25/2024 12:00 AM GMT,10/26/2024 12:00 AM GMT,10/26/2024 12:00 AM GMT,10/25/2024 2:29 PM GMT,cancelled,7.79365E+11,https://parcel.app/webtrack.php?platform=calendar&type=fedex&code=779365217216&lang=en,10/25/2024 8:26 PM GMT,FedEx,VA1018C-SEVN,
SGB1022-SEVN - UPS,"Tracking Number: 1ZGW18070313265252

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070313265252&lang=en",10/28/2024 12:00 AM GMT,10/28/2024 12:00 AM GMT,10/29/2024 12:00 AM GMT,10/29/2024 12:00 AM GMT,10/23/2024 1:29 AM GMT,cancelled,1ZGW18070313265252,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZGW18070313265252&lang=en,10/29/2024 3:26 AM GMT,UPS,GB1022-SEVN,
TX1023-CARL - UPS,"Tracking Number: 1ZC71G770305962354

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770305962354&lang=en",10/26/2024 2:00 PM GMT,10/26/2024 2:00 PM GMT,10/26/2024 6:00 PM GMT,10/26/2024 6:00 PM GMT,10/24/2024 8:29 AM GMT,cancelled,1ZC71G770305962354,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770305962354&lang=en,10/26/2024 11:26 PM GMT,UPS,TX1023-CARL,
NC1023-LOTO - UPS,"Tracking Number: 1ZC71G770317286741

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770317286741&lang=en",10/29/2024 12:30 PM GMT,10/29/2024 12:30 PM GMT,10/29/2024 3:30 PM GMT,10/29/2024 3:30 PM GMT,10/24/2024 8:29 AM GMT,cancelled,1ZC71G770317286741,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770317286741&lang=en,10/30/2024 9:06 AM GMT,UPS,NC1023-LOTO,
IL1023-LOTO - UPS,"Tracking Number: 1ZC71G770326911155

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770326911155&lang=en",10/26/2024 2:00 PM GMT,10/26/2024 2:00 PM GMT,10/26/2024 6:00 PM GMT,10/26/2024 6:00 PM GMT,10/26/2024 7:29 AM GMT,cancelled,1ZC71G770326911155,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770326911155&lang=en,10/26/2024 11:26 PM GMT,UPS,IL1023-LOTO,
AL1023-LOTO - UPS,"Tracking Number: 1ZC71G770331377161

Track on Website: https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770331377161&lang=en",10/29/2024 12:00 AM GMT,10/29/2024 12:00 AM GMT,10/30/2024 12:00 AM GMT,10/30/2024 12:00 AM GMT,10/24/2024 8:29 AM GMT,cancelled,1ZC71G770331377161,https://parcel.app/webtrack.php?platform=calendar&type=ups&code=1ZC71G770331377161&lang=en,10/29/2024 11:26 PM GMT,UPS,AL1023-LOTO,
